,100-1- -a,245-1-0-a,245-1-0-b,260- - -c,653- - -a,lang,year,245-1-3-a,245-1-3-b
2014081108127,"Larssen, Trude Brænne",Lånt fremtid,,2010,,nob,2010,,
2014081405007,"Dahl, Kjell Ola",Isbaderen :,kriminalroman,2011,"2010-tallet, krim, norske, romaner, skjønnlitteraturkriminalromaner, spenning",nob,2011,,
2014081405008,"Halling, Thomas",Reise sammen,,2006,"barnebøker, forelskelse, fotball, klassetur, lettlesingsbøker, lettlest, skoleklasser",nob,2006,,
2014081405009,"Gartland, Kirsten Joveig",Isbrott,,2009,"Grong, Nord-Trøndelag, Nynesset, Sandøldalen, lokalhistorie",nob,2009,,
2014081405011,"Røste, Inger Johanne",Slottet Sintra,,2010,,nob,2010,,
2014081405012,"Staalesen, Gunnar",I mørket er alle ulver grå :,kriminalroman,2011,,nob,2011,,
2014081405013,"Nordahl, Jens",Fast forward :,roman,2009,"norsk, skjønnlitteratur",nob,2009,,
2014081405022,"Thorup, Torill",Etterlyst,,2009,,nob,2009,,
2014081405030,"Boge, Anne-Lise",Barnet,,2009,,nob,2009,,
2014081405035,"Jørgensen, Morten",Bank,,2010,,nob,2010,,
2014081405037,"Svedelid, Olov",Greta Garbo og den døde meksikaneren,,2009,,nob,2009,,
2014081405041,"Holt, Anne",Det som aldri skjer :,en kriminalroman,2009,,nob,2009,,
2014081405043,"Dahl, Niels Fredrik",Herre :,roman,2010,,nob,2010,,
2014081405045,"Angerborn, Ingelin",Hvis jeg bare ikke hadde gjort pappa til astronaut,,2008,,nob,2008,,
2014081405059,"Bøgh Andersen, Kenneth",Dødens terning,,2010,,nob,2010,,
2014081405073,"Alvestad, Iselin B.",Veien til Domar,,2010,,nob,2010,,
2014081405076,"Sonnevi, Göran","Din vinge, som bærer meg :","utvalgte dikt, 1996-2005 : fra diktsamlingene Mozarts tredje hjärna, Klangernas bok og Oceanen",2010,"dikt, litteratur, lyrikk, svensk",nob,2010,,
2014081405083,"Nikolaisen, Solfrid G.",Bra nok,,2010,,nob,2010,,
2014081405098,"Fjell, Jan-Erik",Tysteren :,krim,2011,"2010-tallet, krim, kriminalromaner, mafia, norske, romaner, skjønnlitteratur, spenning",nob,2011,,
2014081405109,"Persson, Leif G.W.",Mellom sommerens lengsel og vinterens kulde :,en roman om en forbrytelse,2011,,nob,2011,,
2014081405111,"Stenberg, Yngvill Knutson",Harmageddon-planen,,2011,,nob,2011,,
2014081405112,"Ingebrigtsen, Per Jan",Blått lys! :,Richard Råskinn og miljøkrigerne : skuespill,2011,,nob,2011,,
2014081405123,"Dahle, Gro","Hvem som helst, hvor som helst :",noveller,2009,"2000-tallet, norske, noveller",nob,2009,,
2014081406002,"Macker, Richard",Djevelpakten :,17 kriminalnoveller,2010,,nob,2010,,
2014081406004,"Khemiri, Jonas Hassen",Montecore :,en unik tiger,2008,"fremmedfrykt, innvandrere, integrering, mangfold, rasisme, toleranse",nob,2008,,
2014081406005,"Frantzen, Ellinor",Skjebnetråder,,cop. 2007,,nob,2007,,
2014081406006,"Haram, Anette Iren Myklebust",SMS-vits mottatt,,2008,,nob,2008,,
2014081406011,"Stehn, Malin",Mynt eller krone?,,2011,,nob,2011,,
2014081406012,"Sæterbakken, Stig",Gjennom natten :,roman,2011,"2010-tallet, norske, pårørende, romanar, romaner, selvmord, skjønnlitteraturungdom, sorg",nob,2011,,
2014081406020,"Ambjørnsen, Ingvar",Galgenfrist,,2010,,nob,2010,,
2014081406022,"Boge, Anne-Lise",Svart engel,,2010,,nob,2010,,
2014081406035,"Lapidus, Jens",Cash :,"hatet, kjøret, jakten",2011,,nob,2011,,
2014081406038,"Solstad, Dag","Ellevte roman, bok atten",,2009,norsk litteratur,nob,2009,,
2014081406041,"Nilsson, Moni",Salmiakk og Hedda :,det femte hullet,2009,"barnebøker, fantasivenn, flytting, hørselshemmede, vennskap",nob,2009,,
2014081406055,"Thorsen, Gerd-Ragna Bloch",,,2009,"barn, barnebøker, følelser, skjønnlitteratur",nob,2009,,
2014081406059,"Lunde, Stein Erik",Biografien om Amalie Skram :,med vilje til å vite,2009,"1800-tallet, amalie, bergen, biografier, forfattere, norske, skram,",nob,2009,,
2014081406062,"Eriksen, Endre Lund",Pitbull-Terje blir ond,,2010,,nob,2010,,
2014081408004,"Arntzen, Ruth",Snorre Snork :,høytlesningsbok om en katt som er så glad i å sove,2009,,nob,2009,,
2014081408077,"Lindboe, Karin Kinge",,,2006,,nob,2006,,
2014081408111,"Larsson, Stieg",Menn som hater kvinner,,2007,"2000-tallet, krim, kriminalromaner, prosa, romaner, skjønnlitteratur, spenning, svenske",nob,2007,,
2014081408117,"Nerem, Marit",Heksevers for hudløse og heite,,cop. 2006,,nob,2006,,
2014081506007,"Hovden, Magne",Planetjakten,,cop. 2011,,nob,2011,,
2014081506012,"Ingvaldsen, Bjørn","Ja,da så!",,2011,,nob,2011,,
2014081506013,"Hjorth, Vigdis",Snakk til meg :,roman,2011,,nob,2011,,
2014081506024,"Rønhovde, Lisbeth Iglum",Boken om Stella,,2011,"adhd, barnebøker, hyperaktivitet, jenter",nob,2011,,
2014081506032,"Mysen, Christine",Oppgjøret,,2011,,nob,2011,,
2014081506033,"Brekke, Jørgen",Nådens omkrets :,kriminalroman,cop. 2011,"2010-tallet, historisk, krim, kriminalromaner, norge, norske, romaner, spenning",nob,2011,,
2014081508154,"Grane, Maria",Solskimring,,2010,,nob,2010,,
2014081508357,"Holt, Anne",Flimmer,,cop. 2011,,nob,2011,,
2014081508367,"Borch, Elisabeth",Silkerosa,,cop. 2007,,nob,2007,,
2014081905048,"Johansen, Jorunn",Mikkel og Hannele,,2011,,nob,2011,,
2014081905049,"Eriksen, Synnøve",Hemmelige rom,,2011,,nob,2011,,
2014081905050,"Lunde, Sigrid",Savnet,,2011,,nob,2011,,
2014081905063,"Hegstad, Inger Harriet",Soloppgang,,2011,,nob,2011,,
2014081905073,"Hovig, Andrea Bræin",Viva la ville Wilma!,,2009,"barnebøker, bibliotek, døtre, fedre, fortellinger, konserter, rock, svømming",nob,2009,,
2014081905106,"Lapidus, Jens",Cash ; Aldri fucke opp,,2011,,nob,2011,,
2014081905108,"Rafaelsen, Ellinor",,,2011,,nob,2011,,
2014081905112,"Skow, Lillian Wirak",Størst av alt :,familiesaga fra Vestfold,2011,,nob,2011,,
2014081905117,"Kjelsen, Reidar",Ånden er løs!,,2009,"barnebøker, eventyrskikkelser, humor, ånder",nob,2009,,
2014081905119,"Row, Dickson",Terror i kvinnenes by,,2011,,nob,2011,,
2014081905120,"Meyer, Anne Marie",Narrespill,,2011,,nob,2011,,
2014081906009,"Reingjerdskog, Anne Lise",Jerntrusa,,2011,,nob,2011,,
2014081906013,"Emberland, Terje",Stormlaget,,cop. 2011,"1930tallet, krim, kriminalromanar, kriminalromaner, litteratur, norsk, roman, skjønnlitteratur",nob,2011,,
2014081906054,"Lindgren, Astrid",Emil i snekkerbua,,2011,,nob,2011,,
2014081906062,"Vatnaland, Torbjørn",Anines terapi :,historien om en psykoterapi,cop. 2011,"beretninger, hukommelsestap, personlige, psykoterapi",nob,2011,,
2014081906072,"Henriksen, Levi",Dagen skal komme med blå vind :,roman,cop. 2011,"2010-tallet, familiehemmeligheter, kjærlighet, litteratur, norsk, norske, roman, romaner",nob,2011,,
2014081906074,"Riise-Hanssen, Anette",Runesteinen,,2011,,nob,2011,,
2014081906080,"Horst, Jørn Lier",Vinterstengt :,kriminalroman,2011,"2010-tallet, krim, litteratur, norsk, norske, romaner, stavern",nob,2011,,
2014081906084,"Ellefsen, Georg",Elba ligger ikke i Bamble,,[2010],,nob,2010,,
2014081906089,"Persson, Leif G.W.",Faller fritt som i en drøm,,2011,,nob,2011,,
2014081906090,"Sandemo, Margit",Yrsa :,den glemte dronningen ; Spindelvev,2011,,nob,2011,,
2014081908001,"Ibsen, Henrik",Villanden :,skuespill i fem akter (1884),c2005,"drama, norske, skuespill",nob,2005,,
2014081908003,"Hamsun, Knut",Samlede verker,,2009,"litteratur, norsk, samlede, skjønnlitteratur, verker",nob,2009,,
2014081908005,"Wekre, Eirik",Operasjon Isbjørn :,thriller,2009,"kriminalromaner, skjønnlitteratur, spenning, svalbard, thriller",nob,2009,,
2014081908020,"Horst, Jørn Lier",Nattmannen :,kriminalroman,2009,"2000-tallet, krim, norske, romaner, spenning",nob,2009,,
2014081908021,"Unenge, Johan",Josefine og Villa-Ulla krangler,,2007,,nob,2007,,
2014081908028,"Garvang, Arne",Muffe tar saken,,2005,ungdomsbøker,nob,2005,,
2014081908093,"Hagemann, Bror",Hvit natt :,roman,2007,,nob,2007,,
2014081908094,"Noort, Saskia",Middagsklubben,,2007,,nob,2007,,
2014081908104,"Nohr, Else-Marie",,,2005,,nob,2005,,
2014081908109,"Sandviken, Berit Elisabeth",Vinterlys,,2007,,nob,2007,,
2014081908126,"Corneliussen, Knut",Lykkelige guttedager i en dramatisk tid,,2006,,nob,2006,,
2014081908134,"Söderholm, Margit",Første gang jeg så deg,,2009,,nob,2009,,
2014081908138,"Masterson, Louis",Tempelprestinnens gjenganger ; Hevneren fra Tombstone,,2007,,nob,2007,,
2014081908169,"Dahl, Arne",Europa blues,,2007,"finlandssvensk, litteratur",nob,2007,,
2014081908178,"Kjærstad, Jan",Homo Falsus,,2005,,nob,2005,,
2014081908207,"Larssen, Trude Brænne",Seid ; Vardøger,,2008,,nob,2008,,
2014081908210,"Jansson, Tove",Pappaen og havet,,2007,,nob,2007,,
2014082107057,"Gaarder, Jostein",Julemysteriet,,2006,,nob,2006,,
2014082108022,"Ros, Katarina",Jakten på Forfaren,,2008,,nob,2008,,
2014082108043,"Bjerke, André",Samlede dikt,,2010,,nob,2010,,
2014082108050,"Aurstad, Tore",Trettenkloa,,2006,,nob,2006,,
2014082108064,"Jensen, Ingelill Kruse",Skjulte fiender,,2008,,nob,2008,,
2014082108123,"Undset, Sigrid",Samlede romaner og fortellinger,,2006,,nob,2006,,
2014082508053,"Arntzen, Ruth",Snorre og Basse :,to gode venner,2009,,nob,2009,,
2014082508081,"Reinertsen, Tore",Solglimt,,2006,,nob,2006,,
2014082508215,"Skeie, Eyvind",Musedyret tar bussen,,cop. 2005,"billedbøker, trafikk, trafikkopplæring",nob,2005,,
2014082608116,"Hødnebø, Tone",,,2005,,nob,2005,Et lykkelig øyeblikk :,dikt i utvalg
2014082608127,"Ottesen, Josefine",Roselill og vennene hennes,,2007,,nob,2007,,
2014082608141,"Wiese, Ingrid",Røde spor,,2007,"hester, jenter",nob,2007,,
2014082608144,"Skeibrok, Merete A.",Kaffe og kamaki,,cop. 2008,,nob,2008,,
2014082708026,"Øverland, Arnulf",Samlede dikt,,2011,,nob,2011,,
2014082708028,"Hegstad, Inger Harriet",Grim,,2010,,nob,2010,,
2014082708031,"Hildebrandt, Johanne",Sagaen om Valhall,,2006,,nob,2006,,
2014082708050,"Kittelsen, Unni Hellesøe",Grønne øyne og andre historier,,2007,,nob,2007,,
2014082708073,"Gjersøe, Ann-Christin",Månenatt,,2007,,nob,2007,,
2014090107018,"Formo, Helge",Humor &amp; musikk,,2005,,nob,2005,,
2014090108079,"Renberg, Tore",Charlotte Isabel Hansen :,roman,2011,,nob,2011,,
2014090207003,"Gotthardt, Peter",Giftige planer,,2010,,nob,2010,,
2014090207004,"Aamodt, Ingunn",Korte grøss,,2011,,nob,2011,,
2014090306045,"Rossebø, Arild",David skater,,2011,"barnebøker, idrett, lettlest, rullebrett, skateboard, skating",nob,2011,,
2014090308034,"Bruna, Dick",Miffys klistremerkebok,,cop. 2007,billedbøker,nob,2007,,
2014090308131,"Hamsun, Knut",Samlede verker,,2009,"litteratur, norsk, samlede, skjønnlitteratur, verker",nob,2009,,
2014090308141,"Ingulstad, Frid",Min historie,,cop. 2007,,nob,2007,,
2014090408016,"Storla, Dag Gustav Gundersen",Snøklokkevals :,historisk roman,cop. 2009,,nob,2009,,
2014090408035,"Sandemo, Margit",Heksemesteren,,2005,,nob,2005,,
2014090408046,"Ewo, Jon",I Satans tid,,2006,"barn, djevledyrking, fortellinger, okkultisme, satanisme, ungdomsbøker, ungdomslitteratur",nob,2006,,
2014090408057,"Bomann-Larsen, Tor",Da det gjaldt :,en god nordmann står endelig frem,2009,,nob,2009,,
2014090408068,"Botterli, Elisabeth",Berlinerparodiene :,den fjerde boka i Neshovd-trilogien,2008,"norsk, parodier, skjønnlitteratur",nob,2008,,
2014090408073,"Hofsø, Ellen",Til Sara :,ungdomsroman,2007,"familien, incest, markasamer, samer, ungdomsbøker, urbefolkning",nob,2007,,
2014090408080,"Frimansson, Inger",God natt min elskede,,2005,,nob,2005,,
2014090408082,"Myhr, Siv-Merethe",Maja og Mimmi i barnedåp,,cop. 2007,,nob,2007,,
2014090408093,"Hamsun, Knut",Samlede verker,,2008,"litteratur, norsk, samlede, skjønnlitteratur, verker",nob,2008,,
2014090408115,"Vassbø, Helga",Under den samme regnbue :,utvalgte dikt,cop. 2006,,nob,2006,,
2014090408182,"Sandemo, Margit","Elskede, hvem er du? ; Dypt inne i skyggene",,2010,,nob,2010,,
2014090408197,"Kielland, Marianne Røise",Kjøttsøvn :,roman,2006,,nob,2006,,
2014090408203,"Lunde, Sigrid",Bortført,,2008,,nob,2008,,
2014090408211,"Havnen, Oddmund",Diana Dianu :,roman,2008,,nob,2008,,
2014090408220,"Aukrust, Kjell",[Samlede verker],,2006,,nob,2006,,
2014090438009,"Knausgård, Karl Ove",,,2005,"2000, engler, norsk, norske, prosa, romaner, skjønnlitteratur",nob,2005,En tid for alt,
2014090908031,"Läckberg, Camilla",Isprinsessen,,2009,,nob,2009,,
2014090908039,"Staalesen, Gunnar",Vi skal arve vinden :,kriminalroman,2010,"2010-tallet, krim, norske, romaner, skjønnlitteratur",nob,2010,,
2014090908043,"Thor, Annika",Havets dyp,,2007,"barn, familien, flyktninger, jøder, sorg, sverigedøden, ungdomsbøker, verdenskrigen",nob,2007,,
2014090908064,"Hamsun, Knut",Samlede verker,,2007,"litteratur, norsk, samlede, skjønnlitteratur, verker",nob,2007,,
2014090908074,"Askildsen, Kjell",Thomas F's siste nedtegnelser til almenheten :,noveller,2009,,nob,2009,,
2014090908091,"Petterson, Per",Det er greit for meg ; I kjølvannet,,2008,,nob,2008,,
2014090908150,"Hildebrandt, Johanne",Sagaen om Valhall,,c2006,,nob,2006,,
2014090908156,"Skow, Lillian Wirak",Tobias og Maria flyr over verden,,cop. 2007,,nob,2007,,
2014090908157,"Svingen, Arne",Gutten som gikk opp i røyk,,2006,"barnebøker, fedre, flytting, spenningslitteratur, sønner",nob,2006,,
2014090908162,"Havrevold, Toril Gording","""Jeg hadde drømt om ørnevingers rapphet"" :",kallet og kjærligheten : Henrik Ibsen - et dikterportrett,cop. 2006,"dikterportretter, forfattere",nob,2006,,
2014090908189,"Rougthvedt, Bernt",Riverton :,Sven Elvestad og hans samtid,2008,"biografier, kriminallitteratur, litteratur, norsk, politikk",nob,2008,,
2014090908199,"Aamodt, Ingunn",Kannibalen,,2007,,nob,2007,,
2014090908205,"Jacobsen, Roy",Hoggerne :,roman,2006,"2000-tallet, norsk, norske, prosa, romaner",nob,2006,,
2014090908208,"Dahl, Niels Fredrik",Journalisten :,roman,2007,,nob,2007,,
2014090908220,"Didriksen, Jørn",,,cop. 2007,,nob,2007,,
2014090908223,"Ingulstad, Frid",Jernnetter,,2007,,nob,2007,,
2014091006088,"Scheen, Kjersti",Villas vals,,2005,,nob,2005,,
2014091008047,"Løvgren, Tor Bertel",Tiden er en fugl i min hage :,utvalgte dikt,2009,,nob,2009,,
2014091008146,"Andersen, Unn Conradi",Har vi henne nå? :,kvinnelige forfatterskap &amp; mediene,2009,"forfattarar, forfattere, kjønn, kritikknorske, kvinnelege, kvinnelige, litteraturhistorie, litterær, massemedier, medier, skjønnlitteratur",nob,2009,,
2014091008217,"Holt, Anne",Død joker :,en Hanne Wilhelmsen-roman,cop. 2011,,nob,2011,,
2014091108034,"Hegstad, Inger Harriet",Vakkerdalen,,2008,,nob,2008,,
2014091524002,"Prøysen, Alf",,,2014,"barnebøker, litteratur, norsk, snø, vinter",nob,2014,,
2014091608005,"Henriksen, Levi",Hjem til jul :,fortellinger,2010,,nob,2010,,
2014091608023,"Gundersen, Kjell",Tretten dager i Riccione,,cop. 2005,,nob,2005,,
2014091608049,"Rafaelsen, Ellinor",Løgnen,,cop. 2007,,nob,2007,,
2014091608061,"Eeg, Harald Rosenløw",Vrengt,,2005,,nob,2005,,
2014091608063,"Klingberg, Helene Freilem",Hold drømmen levende :,dikt og sanger,2006,,nob,2006,,
2014091608099,"Moseng, Geir",Sølvstøv og hvitløkpulver,,2006,,nob,2006,,
2014091608124,"Berntsen, Mette Torill",Harissa,,2008,,nob,2008,,
2014091708149,"Kjørsvik, Joakim",Åpenbart ingen nabo :,historier,2008,,nob,2008,,
2014091708153,"Kyvik, Salmund",Uten fortid,,cop. 2011,,nob,2011,,
2014091708191,"Fredriksson, Marianne",Hver sin verden,,2005,"forskjeller, kjærlighet, romaner",nob,2005,,
2014091708195,"Ewo, Jon",Mannen fra graven,,2007,"grøssere, spenning, ungdom",nob,2007,,
2014091807007,"Nødtvedt, Erlend O.",,,2011,"2010-tallet, bergen, dikt, lyrikk, norsk, skjønnlitteratur",nob,2011,,
2014091807014,"Moestrup, Mette",9 dikt om begjær,,2009,"dansk, litteratur, lyrikk",nob,2009,,
2014091908015,"Lindell, Unni",Måneorkesteret,,2009,,nob,2009,,
2014091908027,"Eliassen, Ruben",Parados' øye,,2006,,nob,2006,,
2014091908030,"Pedersen, Camilla Ønvik",Da tigrene røykte,,2008,,nob,2008,,
2014091908055,"Bjørneboe, Jens",Samlede verker,,cop. 2006,,nob,2006,,
2014091938004,"Mehlum, Jan",Mehlums beste,,2007,,nob,2007,,
2014091938006,"Olsen, Morten Harry",Størst av alt :,roman,2005,"romaner, skjønnlitteratur",nob,2005,,
2014091938007,"Mankell, Henning",Kennedys hjerne,,2006,"2000-tallet, krim, kriminallitteratur, kriminalromaner, romaner, skjønnlitteratur, spenning, svenske",nob,2006,,
2014092208016,"Gotthardt, Peter",Det blodrøde tårnet,,2010,,nob,2010,,
2014092208017,"Lönner, Oddvar",Gardeoberst Gyversen :,roman,2009,,nob,2009,,
2014092208019,"Pettersson, Allan Rune",Tante Frankenstein :,en redselsfull historie,2008,,nob,2008,,
2014092208081,"Johansen, Astrid Therese",,,2008,"demens, dikt, lyrikk, pårørende",nob,2008,En ensom vei alene,
2014092208086,"Blomquist, Lise",Taekwondo hjelper ikke mot spøkelser!,,2006,"barnebok, barnebøker, idrett, kampidrett, leirliv, lettlesingsbøker, lettlest, sport, spøkelser, taekwondo",nob,2006,,
2014092238004,"Holst, Hanne-Vibeke",Dronningofferet,,[2010],,nob,2010,,
2014092238009,"Mathisen, Kamilla",,,2009,,nob,2009,En siste løgn,
2014092238010,"Wandrup, Fredrik",Svart poker,,2007,"2000-tallet, kriminalromaner, norske",nob,2007,,
2014092308091,"Sivle, Per",Fem historier fra Stalheim :,en unggutts første opplevelser,2006,,nob,2006,,
2014092308135,"Hagerup, Klaus",Seniorhumoristen ; Maratonherren ; Herremannen,,2008,,nob,2008,,
2014092308146,"Årnes, Sverre",Gylne drømmer,,2005,,nob,2005,,
2014092408048,"Ingulstad, Frid",Kristin,,2007,,nob,2007,,
2014092408057,"Hamsun, Knut",Samlede verker,,2008,"litteratur, norsk, samlede, skjønnlitteratur, verker",nob,2008,,
2014092438012,"Marklund, Liza",,,2006,,nob,2006,,
2014092438013,"Sandberg, Bente",Tilgivelse,,2011,,nob,2011,,
2014092438017,"Nedreaas, Torborg",Musikk fra en blå brønn,,2007,,nob,2007,,
2014092506026,"Grue, Anna",Dypt å falle,,2009,"menneskehandel, skjønnlitteratur, trafficking",nob,2009,,
2014092506099,"Hovden, Magne",Leif J@nsson,,2006,,nob,2006,,
2014092508013,"Noort, Saskia",Middagsklubben,,2006,,nob,2006,,
2014092508024,"Christensen, Lars Saabye",Oscar Wildes heis :,noveller,2005,"2000-tallet, norsk, norske, noveller, prosa, skjønnlitteratur",nob,2005,,
2014092508055,"Wiksaas, Hilmari","Skyt, Lotte, skyt",,[2010],,nob,2010,,
2014092508061,"Ugland, Ellen",Å lykkes med- norsk litteratur,,2005,"analyse, historie, kritikk, litteratur, litterær, lyrikk, norrøn, norsk, tekstanalyse",nob,2005,,
2014092508077,"Mazetti, Katarina",Tarzans tårer,,2005,,nob,2005,,
2014092508092,"Hagerup, Klaus",Markus og jentene,,2008,,nob,2008,,
2014092638003,"Sonnevi, Göran",,,2010,,nob,2010,Et ansikt :,"utvalgte dikt, 1961-1993"
2014092638010,"Kjærstad, Jan",Kloden dreier stille rundt,,2005,,nob,2005,,
