,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-0-b,245-1-3-a,245-1-3-b
2009072900105,"Klepp, Anneli",Lusne forviklinger,2006,"barn, familien, humor, omsorgssvikt",nob,2006,,,
2011012103008,"Næss, Inga E.",Fangstmannsliv ; Bjørnson og Larsson,cop. 2007,"Arctic, Blåsebelgen, Halvmåneøya, fangst, fangststasjoner, history, hunting, overvintrere, overvintringer, svalbard, trapping",nob,2007,,,
2011021603045,"Houm, Nicolai",Når alle sover,2011,"biletbøker, billedbøker, monster, monstre",nob,2011,,,
2011022403004,"Green, Jen",Vincent van Gogh,cop. 2010,,nob,2010,,,
2011022403026,"Vea, Margit",Kjøkkenpatruljen :,2010,"barn, kokebøker, matlaging, oppskrifter, rogaland",nob,2010,barnas kokebok,,
2011032108106,"Wich, Henriette",5 ballongbra bursdagshistorier,cop. 2005,,nob,2005,,,
2011032408023,"Strøm, Johan-Arnt",Aksjonistene,cop. 2005,,nob,2005,,,
2011033003078,"Mason, Antony",Chagall,2005,"barnebøker, frankrike, malere, malerkunst",nob,2005,,,
2011040806130,"Johnsen, Kjetil",,2011,,nob,2011,,En morders ansikt,
2011052008090,"Montgomery, L.M.",Anne fra Bjørkely,2006,,nob,2006,,,
2011052008106,"Follestad, Hans Frederik",De fire og han som gjør galt verre,cop. 2005,"fantastisk, humor, litteratur, ungdomsbøker",nob,2005,,,
2011052008108,"Bergström, Gunilla",Albert Åberg og soldatpappaen,cop. 2006,"barnelitteratur, billedbøker, innvandrere, krig, svensk",nob,2006,,,
2011052308033,"Kerr, Philip",Lampeåndens barn,2006,,nob,2006,,,
2011052608038,"McCombie, Karen",Bare sol og glede?,2005,,nob,2005,,,
2011060108059,"Svingen, Arne",Bendik og monsteret går under jorden,2006,"barnebøker, lettlesingsbøker, monstre",nob,2006,,,
2011060108117,"Jacobsson, Anders",Berts ytterligere funderinger :,2005,,nob,2005,april-september [i.e. september-desember],,
2011060708070,"Smiley, Ben",Biler,cop. 2006,,nob,2006,,,
2011060708127,"Lucado, Max",Best av alle,2006,,nob,2006,,,
2011060808020,"Cantillon, Eli A.",8-boken min,c2006,"førskole, matematikk",nob,2006,,,
2011061608006,"Roeim, Jørn",Barnas store humorbok :,2007,"antologier, barn, gåter, humor, ordleker, vitser",nob,2007,"vitser, gåter, historier, ordleker",,
2011061708006,"Chapman, Keith",Ballets dronning,2007,,nob,2007,,,
2011061708058,"Sundvoll, Jon Georg",Barabbas,cop. 2007,,nob,2007,,,
2011061708112,"Ondracek, Claudia",3 gromme gårdshistorier,cop. 2006,,nob,2006,,,
2011061708114,"Zoschke, Barbara",3 brummende bilhistorier,cop. 2006,,nob,2006,,,
2011062108017,"Colfer, Eoin",Artemis Fowl :,2007,"alver, barnebøker, eventyrskikkelser, fantastisk, litteratur, ungdomsbøker",nob,2007,opal-bedraget,,
2011062108059,"Johansen, Sissel",Amalie og Julian,cop. 2007,,nob,2007,,,
2011062108071,"Lindh, Knut",Adolf Hitler :,2008,"andre, biografier, diktatorer, oppvekst, verdenskrigen",nob,2008,blod og ære,,
2011062108282,"Marenco, Susan",Bobs fantastiske plan,2007,,nob,2007,,,
2011062208058,"Grøver, Tone",Broren til Charlie C,2007,,nob,2007,,,
2011062208130,"Kerr, Philip",,2007,,nob,2007,,,
2011062208134,"Villard, Martin",Bilmerkeboken,2007,,nob,2007,,,
2011062308104,"Brugman, Alyssa",Bindys kaotiske verden,2007,,nob,2007,,,
2011062308134,"Lian, Torun",Adam den tredje i fjerde,2008,,nob,2008,,,
2011062308178,"Davidson, Susanna",Anne Frank,2007,"1939-1945, barnebøker, holocaust, jøder, konsentrasjonsleirer, lettlsesningsbøker, verdenskrigen",nob,2007,,,
2011062408047,"Campbell, Joanna",Ashleighs dagbok,2007,,nob,2007,,,
2011062408153,"Colfer, Eoin",Artemis Fowl :,2007,"alver, barnebøker, eventyrskikkelser, familien, fantastisk, kriminalitet, litteratur, ungdomsbøker",nob,2007,evighetskoden,,
2011062708039,"Kennen, Ally",Beist,2007,,nob,2007,,,
2011062708222,"Von Ziegesar, Cecily",Aldri lyve for deg :,2007,,nob,2007,en gossip girl roman,,
2011062808025,"Grimsrud, Beate",Alba og Adam,2008,"flyktninger, innvandrere, krig, vennskap",nob,2008,,,
2011070108066,"Hayes, Rosemary",Blodsbånd,2005,,nob,2005,,,
2011070108111,"Dahl, Roald",Charlie og sjokoladefabrikken,2005,barnelitteratur,nob,2005,,,
2011070508147,"McDonnell, Patrick",Arves farver,2007,"bildebok, biletbok, billedbøker, fargar, farger, kunst, tegnekunst",nob,2007,,,
2011070508177,"Morisse, Tor",Askeladden og risen som ikke hadde noe hjerte på seg,cop. 2007,tegneserie,nob,2007,,,
2011070608118,"Balkwill, Frances R.",Cellen :,2005,"biologi, celler",nob,2005,livets fabrikk,,
2011071108005,"Masannek, Joachim",Deniz lokomotivet,[2007?],,nob,2007,,,
2011071108057,"Bøgh Andersen, Kenneth",Djevelens læregutt,2007,"djevelen, helvete, mobbing",nob,2007,,,
2011071308078,"Ottesen, Josefine",Demonene hvisker,2007,"barn, dansk, fantasy, litteratur",nob,2007,,,
2011071406114,"Brashares, Ann",,2005,"familien, ungdomsbøker, vennskap",nob,2005,,En sommer og fire jenter,
2011072008134,"Somper, Justin",Dødens dyp,2007,,nob,2007,,,
2011072108029,"Ottesen, Josefine",Drage-herren,2005,"barnebok, fantasy, lettlest",nob,2005,,,
2011072208028,"Helland, Annette Saugestad",Bø!,[2006],"billedbøker, brøleaper, vennskap",nob,2006,,,
2011072208059,"Vikström-Jokela, Monica",Ellens annerledes chat,cop. 2006,"barnebøker, forelskelse, internett, skolemiljø",nob,2006,,,
2011072508034,"Nilsen, Ole-Mikal",Døden lyser blått,2005,"barnebøker, spenningslitteratur",nob,2005,,,
2011072608013,"Haugen, Tormod",Doris Day og tordnvær,2005,"barnebøker, dagligliv, ferie, fortellinger, trysil",nno,2005,,,
2011072906041,"Örtengren, Lisa",Ulv og jeg,2005,,nob,2005,,,
2011072906056,"Widmark, Martin",Kinomysteriet,2005,,nob,2005,,,
2011080108023,"Viermyr, Marianne",Bølla Britt og Rita Rapp,2006,"barnebøker, draker, lettlesingsbøker, mobbing, vennskap",nob,2006,,,
2011080108080,"Reinertsen, Tore",Dyrefamilien Snabel på eventyr,2005,,nob,2005,,,
2011080108109,"Carroll, Lewis",Alice i Eventyrland,2007,,nob,2007,,,
2011081106063,"Gravanes, Arne",Ida og Peter,2005,"aktiviteter, barnehage, barnehagen, begynneropplæring, begynneropplæringen, førskole, førskolen, matematikk, matte, oppgaver, småskolen, utendørs, utskole, øvelser",nob,2005,,,
2011081206033,"Svingen, Arne",Hubert blir ikke forelsket,2005,"barnebok, humor, lettlest",nob,2005,,,
2011081206125,"Höglund, Anna",Mina og Kåre,2005,"angst, billedbøker, forlatthet, følelser, sinne",nob,2005,,,
2011081506016,"Lundberg, Sten",Røde Løv fra Laoying i Kina,cop. 2005,"barn, hvelett, kina, lettlest",nob,2005,,,
2011081506110,"Paver, Michelle",Ulvebror,2005,barnebøker,nob,2005,,,
2011081708066,"Ragde, Anne B.","""Dumme mamma!""",2006,"barnebok, barnebøker, barnehager, dagligliv",nob,2006,,,
2011081905084,"Farley, Terri","Stol på meg, Dark Sunshine!",2005,,nob,2005,,,
2011082305031,"Knudsen, Lise",Maskespill,2005,"mødre, relasjoner, ungdomsbøker",nob,2005,,,
2011082305032,"Hansen, Thore",Madagaskar :,2005,"barn, barnebøker, foreldre, sjørøveri, spenningslitteratur, ungdomsbøker",nob,2005,jakten på sjørøverdronningen,,
2011082308020,"Bringsværd, Tor Åge",Da Jesusbarnet kom til prærien,cop. 2006,"bibelen, hvite, indianere, kulturmøter, religion",nob,2006,,,
2011082308070,"Hveding, Axel",Dyresangboka,2005,,nob,2005,,,
2011082309059,"Hægermark, Wenche Aale",Bli med oss til Kreta,2005,,nob,2005,,,
2011082908005,"Lindgren, Barbro",Bella i barnehagen,cop. 2006,"barnehager, biletbøker, billedbøker, dagligliv, følelser, kosedyr, skjønnlitteratur, uvennskap, vennskap",nno,2006,,,
2011083106176,"Hagen, Guri Børrehaug",Liket i elva,2005,"barnebøker, spenningslitteratur",nob,2005,,,
2011083108116,"Gregussen, Beate Mosaku",Engelen Ella,cop. 2007,,nob,2007,,,
2011090506131,"Ersland, Bjørn Arild",På jakt etter gull og gråstein :,2005,"marinarkeologi, undervannsarkeologi",nob,2005,marinarkeologi for barn,,
2011090508016,"Jones, Jasmine",Eventyr i New York,2007,,nob,2007,,,
2011090606011,"Mellem, Reidun",Livsfarlig leik med fiendemakt,2005,"1939-1945, norge, verdenskrigen",nno,2005,,,
2011090606108,"Twain, Mark",Huckleberry Finn,2005,"barnebøker, klassiske",nob,2005,,,
2011090606113,"Lillo, Gerd Eva",GeriljaCyberGirls,2005,,nob,2005,,,
2011090906006,"Haaland, Kirsti R.",Even og skilsmissen,2005,,nob,2005,,,
2011091308101,"Andersen, Rune",Lærelyst,2006,"læring, motivasjon, motivasjonsmetodikk, rollelek, rollespel, undervisningsmetoder",nob,2006,veien til motivasjon,,
2011091408128,"Rooney, Anne",1001 forferdelige fakta :,2009,,nob,2009,en grøssopedia om forderdelige sannheter om alt mulig,,
2011091608157,"Asbjørnsen, P. Chr.",Barnas store Asbjørnsen &amp; Moe,cop. 2008,folkeeventyr,nob,2008,,,
2011091906103,"Toriyama, Akira",Kampen mot Nappa,2005,,nob,2005,,,
2011091906139,"Nix, Garth",Grim Tirsdag,2005,,nob,2005,,,
2011091908145,"Melli, Aleksander",Barneregjeringen :,2008,"barnebøker, fjernsyn, politikk, reality-tv, samfunnsanalyser, ungdomsbøker",nob,2008,roman,,
2011092006126,"Aakeson, Kim Fupz",Og så ble farfar et spøkelse,2005,"barnelitteraturbarnebøker, begravelser, besteforeldre, billedbøker, døden, spøkelser",nob,2005,,,
2011092106014,"Gleitzman, Morris",Så,2010,"barnebøker, flukt, historie, jøder, krig, nazisme, tyskland",nob,2010,,,
2011092106042,"Ingvaldsen, Bjørn",Sangen om Lucy,2010,"barn, barnebøker, drømmer, funksjonshemmede, kreft, mødre, paris, sjukdom, sykdom",nob,2010,,,
2011092106105,"Larsen, Britt Karin",Vesle-Hjalmar og vinterslottet,2009,"barnebøker, romanifolket, tatere",nob,2009,,,
2011092208029,"Stokka, Gunnvor Krogen",Fiskerne på stranden,[2006],,nob,2006,,,
2011092208060,"Martineau, Susan",Frukt og grønnsaker,cop. 2007,"barnebøker, bær, ernæring, frukt, grønnsaker",nob,2007,,,
2011092306069,"Kodzoman, Titus",Kenguruen Rufus,2005,"australia, barnebøker, dyr, fugler, kenguruer",nob,2005,,,
2011100308121,"Tames, Richard",Fascisme,cop. 2006,fascisme,nob,2006,,,
2011100406131,"Ingvaldsen, Bjørn",Sangen om Lucy,2010,"barn, barnebøker, drømmer, funksjonshemmede, kreft, mødre, paris, sjukdom, sykdom",nob,2010,,,
2011100408112,"Payne, Jan",Fem minutters jungelfortellinger,2006,,nob,2006,,,
2011100408197,"Sortland, Bjørn",Barcelona-mysteriet,2008,"barcelona, barn, barnebøker, krim, kunst, lettlest, spenningslitteratur",nob,2008,,,
2011100605005,"Såtvedt, Olav",Svart gull,2010,"historie, slavehandel, ungdomsbøker",nob,2010,,,
2011100606062,"Sande, Hans","Hopp i havet, Elise!",2010,lettlest,nno,2010,,,
2011101406070,"Noreng, Jan Tore",Dødens skole,2011,"fortellinger, litteratur, norsk, skolen",nob,2011,,,
2011101406116,"McAllister, M.I.",Urchin og flodbølgen,cop. 2010,,nob,2010,,,
2011102106018,"Berktold, Gabi",Sjøens hemmelighet,2005,,nob,2005,,,
2011102106062,"Rønhovde, Lisbeth Iglum","Tål mine TICS, takk!",2010,"adhd, barn, barnebøker, lettlest, livsstil, lærevansker, samtaler, skole, skrivemotoriske, syndrom, tics, tourettes, ts, tvang, ungdom, ungdomsbøker, vansker, venner",nob,2010,,,
2011102106072,"Loe, Erlend",Kurt kurér,2010,"barnebøker, barnelitteratur, nonsens, nord-norge, norsk",nob,2010,,,
2011102106085,"Rydland, Asbjørn",Drakeguten,2010,"barnebøker, barnelitteratur, fantastisk, fantasy, litteratur, norsk, ungdomsbøker",nno,2010,,,
2011102405044,"Kaaberbøl, Lene",Sølvhesten :,2005,"barnebøker, fantastisk, fantasy, litteratur, skjønnlitteratur, spenningslitteratur, ungdomsbøker",nno,2005,historia om Katriona Teresadotter,,
2011102406026,"Tronstad, Tyra Teodora",Jeg skal hjelpe deg,cop. 2009,"barn, billedbøker, fedre, hjelpsomhet, relasjoner, tunnelbaner",nob,2009,,,
2011102805089,"Bredow, Katarina von",Bare ikke deg,2010,"foreldre, kjærlighet, narkotika, søsken, ungdomsbøker, vennskap",nob,2010,,,
2011110308139,"Stai, Kari",Mopp og Mikko elskar mat,cop. 2011,"billedbøker, mat, pekebøker",nno,2011,,,
2011110308141,"Stai, Kari",Mopp og Mikko elskar ting,cop. 2011,"barnelitteratur, bildebøker, norsk, pekebøker",nno,2011,,,
2011121506041,"Valeur, Tiril",Polly-Esther og ønskemonsteret,cop. 2010,"angst, barnebøker, mobbing, monstre, uhyrer",nob,2010,,,
2012011306052,"Thor, Annika",,2005,"andre, jødeforfølgelser, jøder, sverige, verdenskrigen, østerrike",nob,2005,,En øy i havet,
2012011906020,"Hagerup, Hilde",Virginia Woolf,2011,"biografier, engelsk, litteratur, ungdomsbøker",nob,2011,,,
2012012606010,"Moursund, Gry",Bibbi og katten,2011,"bildebøker, billedbøker, bokstaver, katter, store",nob,2011,,,
2012021608137,"Aamodt, Ingunn",Cat fight,2011,"barnebøker, forelskelse, jenter, ungdomsbøker, vennskap",nob,2011,,,
2012022906017,"Landaas, Eli",Nøkkelmysteriet,2005,,nob,2005,,,
2012030906017,"Sortland, Bjørn",,[2005],,nno,2005,,,
2012031406024,"Røssland, Tor Arve",Svarte-Mathilda,2010,"grøssarar, grøssere, spenningslitteratur",nno,2010,,,
2012041706053,"Moore-Mallinos, Jennifer",Har du en hemmelighet?,cop. 2010,"billedbøker, hemmeligholdelse, kommunikasjon",nob,2010,,,
2012051805033,"Toriyama, Akira",,2005,,nob,2005,,Et liv etter dette,
2012051805043,"Scott, Gabriel",Sølvfaks som reiste ut i den vide verden,2006,"barnebøker, katter, klassiske",nob,2006,,,
2012052906062,"Eriksson, Karin",Min første bok om istiden,2006,"barnelitteratur, istiden, istider",nob,2006,,,
2012060106010,"Svingen, Arne",Hubert i sydensurr,2006,"barn, barnebøker, ferie, humor, lettlest, lærere",nob,2006,,,
2012060106017,"Simon, Francesca",Rampete Robin tar hevn,2006,,nob,2006,,,
2012060605041,"Eliot, G.G.",Skjønnheten kommer innenfra-,2006,,nob,2006,,,
2012060605044,"Svingen, Arne",Hubert i vikarkaos,2006,"barn, barnebøker, humor, lettlest, skole",nob,2006,,,
2012060605055,"Thomson, Emma",,2005,,nob,2005,,,
2012060605084,"Jones, Jasmine",Kjempeforelsket,2006,,nob,2006,,,
2012060606087,"Baarøy, June Merete.",Kringlevrider Bollesen :,[2005],,nob,2005,SA og besifring,,
2012061105000,"Ersland, Bjørn Arild",27 grader på stranda,2011,"barnelitteratur, lettlest, norsk, strandliv",nob,2011,,,
2012061105017,"Arold, Marliese",Drømmehesten og andre hestehistorier,2012,,nob,2012,,,
2012061505003,"Kleiva, Rønnaug",Andre sida av Paris,2007,"klassemiljø, mobbing, ungdomsbøker",nno,2007,,,
2012061505175,"Sivertsen, Ole André",Leseuniverset 5-7,cop. 2010,,nno,2010,,,
2012061905131,"Aarø, Selma Lønning",Vampyrlus!,2012,"bildebøker, biletbøker, billedbøker, leik, lek, lus, sjalusi, vennskap, venskap",nob,2012,,,
2012061906073,"Savhammar, Mikael",Martins andakter,2011,,nob,2011,,,
2012061906081,"Shepard, Sara",Utrolig,2011,,nob,2011,,,
2012062106010,"Sæter, Tone",Piriam redder skogen,2012,,nob,2012,,,
2012062506087,"Mejlænder, Petter",,cop. 2007,"filosofer, filosofi, norge, norske",nob,2007,,,
2012062805012,"Didelez, Guy",Søte hevn,2011,,nob,2011,,,
2012062808120,"Salomonsen, Sigmunn",Suobjjás Suobjjá,cop. 2011,,smj,2011,,,
2012070205069,"Skibińska, Martyna",,2009,"bildebøker, billedbøker, polske, pottetrening, prinsesser",nob,2009,,,
2012070206087,"Kaaberbøl, Lene",Eldprøva,2012,"barnebøker, fantastisk, fantasy, hekser, litteratur, trolldom",nno,2012,,,
2012070305015,"Angermayer, Karen Christine",Mitt liv &amp; ditt liv,2012,,nob,2012,,,
2012070606157,"Boyne, John",Gutten i den stripete pyjamasen,2008,"1939-1945, andre, barnebok, berlin, konsentrasjonsleirer, vennskap, verdenskrig, verdenskrigen",nob,2008,,,
2012071006095,"Johnson, Jinny",Hunder og valper,cop. 2009,,nob,2009,,,
2012071206013,"Marzi, Christoph",Heaven,2011,,nob,2011,,,
2012071206015,"Millard, Glenda",Gratiskyss i mørke,2011,"australsk, roman, ungdomslitteratur",nob,2011,,,
2012071608186,"Bringsværd, Tor Åge",Kaptein Puma og den store kometen,[2007],,nob,2007,,,
2012071805101,"Moen, Torbjørn",Best? :,2010,"fotball, skjønnlitteratur, ungdomsbøker",nob,2010,fotballroman for ungdom,,
2012072006069,"Geffenblad, Lotta",Prikk og Flekk bakar,2006,"baking, biletbøker, skjønnlitteratur",nno,2006,,,
2012072505090,"Nielsen, Jan Henrik",Høsten,2011,"barnebøker, familien, katastrofer, litteratur, miljø, norsk, søsken",nob,2011,,,
2012072638034,"Ash, Russell",Aller forlags store bok om alt,2007,"barn, billedbok, encyklopædi, fakta, faktabok, leksikon",nob,2007,,,
2012083008149,"Reinertsen, Tore",Joy og Lurifaks :,2006,,nob,2006,en fortelling for barn,,
2012091108171,"Øien, Jan-Kåre",Gjøken i klokka,2010,"billedbøker, dyr, gjøkfugler, gjøkur, vennskap, vinter",nob,2010,,,
2012091905022,"Karmel, Annabel",Du kan lage mat,2010,"barn, kokebok, kokekunnskap",nob,2010,,,
2012102907011,"Bjørndal, Olaug",Marie,2009,,nno,2009,,,
2012102907066,"Hansen, Thore",Zaga,2011,"barnebøker, barnelitteratur, bildebøker, billedbøker, drømmer, fantastisk, litteratur, norsk",nob,2011,,,
2012102907179,"De Beer, Hans",Lille isbjørn :,cop. 2009,,nob,2009,lær meg å fly!,,
2012110106000,"Birkelid, Jan Erik","Waldemar, den ensomme sjøormen i Kattegat :",2009,,nob,2009,en spennende historie med ekte sjøord,,
2012110206106,"Gahrton, Måns",Eva &amp; Adam :,2008,"forelskelse, sjalusi, ungdom, vennskap",nob,2008,lykkelige idioter,,
2012110806082,"Jakhelln, Cornelius",Rikke gidder ikke! :,2008,"billedbøker, nonsens, opprør, sinne, stress, tiden",nob,2008,ei nesten vanlig jente blir verdens viktigste person,,
2012111308091,"Parker, Steve",Haier,cop. 2012,"fisker, haier, ungdomsbøker",nob,2012,,,
2012111406118,"Hagmar, Pia",Saras nye hest,2008,,nob,2008,,,
2012111508034,"Gehm, Franziska",Vampyrferie,2011,,nob,2011,,,
2012111508070,"Ardelius, Gunnar",Lysløypa,2012,"barn, fedre, kjærlighet, løp, mødre, ungdomsbøker",nob,2012,,,
2012111508086,"Blanck, Ulf",Flueinvasjonen,cop. 2011,,nob,2011,,,
2012111606021,"Gripe, Maria",-og de hvite skyggene i skogen,cop. 2011,,nob,2011,,,
2012111606121,"Nielsen, Bent B.",Viggo Vampyr får en venn,2008,,nob,2008,,,
2012111905003,"Cattaneo, Caterina",Dødsreisen :,2011,"døden, norrøn-mytologi, ungdomsbøker",nob,2011,ungdomsroman,,
2012111906021,"Dahlbäck, Helena",Julia,2011,,nob,2011,,,
2012112638069,"Hoffman, Mary",,cop. 2012,"flerkulturell, flyktninger, kulturmøter, norge, somalia",nob,2012,,Et bilde til mor,
2012112638077,"Nordström, Jockum",Sailor og Pekka,2006,"barn, billedbøker, kunst, surrealisme, tegnekunst",nob,2006,,,
2012112638095,"Pipe, Jim",Olje :,cop. 2011,"drivstoff, energikilder, energiressurs, olje",nob,2011,vil den ta slutt?,,
2012112808006,"Parvela, Timo",Ella på sykehuset,cop. 2012,"barn, barnebøker, humor, sykehus",nob,2012,,,
2012120408062,"Jensen, Jørn",Kasper får ny trener,2010,fotball,nob,2010,,,
2012121208016,"Osland, Erna",Perfekte par,[2007],"forelskelse, kjærlighet, noveller, skjønnlitteratur, ungdomsbøker",nno,2007,,,
2012121805078,"Schweder, Åsa Gan",Silkeormdrømmer,2006,"amsterdam, barnebøker, dikt, kinesiske, vennskap",nob,2006,,,
2013010208160,"Delaney, Joseph",Heksenes hevn,2011,,nob,2011,,,
2013010408041,"Benway, Robin",Vent!,2010,,nob,2010,,,
2013010408088,"Garvang, Arne",Muffe tar saken ; Og bakom synger hverdagen,2007,,nob,2007,,,
2013010408100,"Kaaberbøl, Lene",Viridians blod,2012,"barnebøker, fantastisk, hekser, litteratur, trolldom",nno,2012,,,
2013010805039,"Aurstad, Tore",Løpet er kjørt!,2007,"barnebøker, leseløve, lettlest, løve-pluss, spenningslitteratur",nob,2007,,,
2013010806069,"Indregard, Kjetil",Svingengutta møter Sjokolademannen,2007,,nob,2007,,,
2013010906177,"Nærum, Knut",Kalle Komet og skreklingene,2006,"billedbøker, nonsens, romfart",nob,2006,,,
2013010908005,"Skow, Lillian Wirak",Tobias og Maria på Langedrag,cop. 2006,,nob,2006,,,
2013010908006,"Nolan, Tina",Buster,2008,,nob,2008,,,
2013011408072,"Grant, Michael",Pesten,cop. 2011,,nob,2011,,,
2013011506101,"Scheen, Kjersti",Linnea og kastanjeprinsen,2006,"barnebøker, barnelitteratur, ferie, lettlest, skjønnlitteratur, spenning, spenningslitteratur",nob,2006,,,
2013011607141,"Holm, Dorte",Rottatouille :,2007,,nob,2007,(rått·a·tu·i),,
2013011706060,"Sager, Mari Eggen",Stjele-Frida,2011,"barnelitteratur, billedbøker, tyveri, vennskap",nob,2011,,,
2013011708155,"Lessmann, C.B.","Lengsel, drøm og kjærlighet",2011,,nob,2011,,,
2013012306007,"Widmark, Martin",Fotballmysteriet ; Kirkemysteriet,cop. 2009,,nob,2009,,,
2013012306089,"Henriksen, Hilde",Skjalg :,2006,,nob,2006,høvdingens sønn,,
2013012407159,"Clayden, Julie",Miriam,cop. 2006,,nob,2006,,,
2013012805137,"Fullu, Karsten",Forstørrelsesmiddelet,2009,,nob,2009,,,
2013013008319,"Riordan, Rick",Monsterhavet,2012,"amerikansk, ungdomslitteratur",nob,2012,,,
2013013106168,"Von Ziegesar, Cecily",Ikke glem meg :,2007,,nob,2007,en gossip girl roman,,
2013013106341,"Arnevåg, Merete Føyen",Hva ville Jesus ha gjort?,2007,,nob,2007,,,
2013021438005,"Aarø, Selma Lønning",Reidar og den store magen,2007,"billedbøker, graviditet, nonsens, svangerskap, søsken",nob,2007,,,
2013021438011,"Dahl, Roald",Charlie og sjokoladefabrikken,cop. 2005,,nob,2005,,,
2013021538011,"Midré, Markus",Muren,2008,"bilderoman, billedroman, fiction, science, ungdomsbøker",nob,2008,,,
2013021938005,"Gjefsen, Bjørn",Skattene i berget det blå :,2006,"geologi, historie, malmer, metaller, norge, økonomisk",nob,2006,metallenes historie i Norge,,
2013022206024,"Alveng, Kristine Aksøy",Kort &amp; godt :,2005,"konfirmantarbeid, konfirmasjon, religionspedagogikk",nob,2005,for konfirmanten,,
2013022206034,"Turnbull, Stephanie",Vikingene,2008,"barnebok, vikinger",nob,2008,,,
2013022206078,"Keene, Carolyn",Frøken Detektiv :,2009,,nob,2009,ledetråd: Hawaii,,
2013022238017,"Erlbruch, Wolf","And, døden og tulipanen",2007,"billedbøker, døden, ender",nob,2007,,,
2013022638015,"Edom, Helen",Boken min om ballett,2007,"ballett, barn, dans",nob,2007,,,
2013022806113,"Shan, Darren",Demontyven :,2009,,nob,2009,bli med til helvete-,,
2013030106013,"Hopkins, Cathy","Venner, gutter og en strålende sommer",2008,,nob,2008,,,
2013030406030,"Kjelsen, Reidar",Ku uten hode,2010,,nob,2010,,,
2013030506190,"Gotthardt, Peter",Magiske huler,2010,,nob,2010,,,
2013030506217,"St. John, Lauren",Delfinenes sang,2009,,nob,2009,,,
2013030606004,"Carroll, Lewis",Alice i Eventyrland,2009,,nob,2009,,,
2013030608130,"Harild, Kirsten Sonne",Forever,2011,,nob,2011,,,
2013030608134,"Childs, Tera Lynn",Finner til besvær,2011,,nob,2011,,,
2013030806013,"Wiese, Ingrid",Ikke gjør det!,2008,,nob,2008,,,
2013031105012,"Andersson, Rune Johan",Far alene,2008,"barn, billedbøker, ensomhet, fedre",nob,2008,,,
2013031105116,"Gaski, Harald",Sju sorter vann,2005,"barnebøker, eventyr, myter, sagn, samiske",nob,2005,,,
2013031106135,"Grace, N.B.",Drømmer om Broadway,2008,,nob,2008,,,
2013031905026,"Stehn, Malin",Inntrengere i stallen,2010,,nob,2010,,,
2013031905031,"Meyer, Stephenie",Formørkelsen,2010,,nob,2010,,,
2013031906122,"Kerr, Philip",Lampeåndens barn,2008,,nob,2008,,,
2013031908012,"Over, Uta",Ri inn i solnedgangen,2011,,nob,2011,,,
2013040206045,"Mysen, Christine",Araberhesten,2010,,nob,2010,,,
2013040208124,"Haugen, Tormod",Georg og Gloria :,2005,,nob,2005,en fortelling om kjærligheten,,
2013040208146,"Osborne, Mary Pope",Mumier om morgenen,2011,"barnebøker, egypt, leseløve, mumier, tidsreiser",nob,2011,,,
2013040305128,"Freer, Echo",Magenta - med kaos i hodet!,2008,,nob,2008,,,
2013040806022,"Applegate, K.A.",Budskapet,2008,,nob,2008,,,
2013040806153,"Raven, Emma",Mysterium i skumringen,2008,,nob,2008,,,
2013040806155,"Sunne, Linn T.",Blå Blondie,2008,"døden, foreldre, forelskelse, kreft, sykdommer, søsken, ungdomsbøker, vennskap, venskap",nno,2008,,,
2013040807219,"N'jie, Haddy","Dans, dans!",2008,"barnebøker, dans, lettlesingsbøker, lettlest, vennskap",nob,2008,,,
2013040907057,"De Beer, Hans",Lille isbjørn :,[2010?],,nob,2010,jeg vil ikke være alene!,,
2013041106027,"Johnsen, Kjetil",Til jord skal du bli,2007,,nob,2007,,,
2013041206025,"Hagmar, Pia",Hesten som forsvant,cop. 2008,,nob,2008,,,
2013041206097,"Mankell, Henning",Hunden som sprang mot en stjerne,cop. 2007,,nob,2007,,,
2013041206132,"Djupvik, Laura",,2009,"forelskelse, forelsking, lettlest",nno,2009,,,
2013041506107,"Hagmar, Pia",Det mystiske ranet,2007,,nob,2007,,,
2013041506144,"Göransson, Mattias",Proffdrømmen,2007,,nob,2007,,,
2013041506152,"Mostue, Sigbjørn",Mørkeboka,2009,barnelitteratur,nob,2009,,,
2013041606045,"Rasmussen, Torkel",Aigine Lavra :,cop. 2009,,sma,2009,giesie Bassegohppesne : rovmane maanide jih noeride,,
2013042405089,"Simon, Francesca",Rampete Robin raner banken,2010,,nob,2010,,,
2013042505001,"Morell, Gill",Hesteferien,2006,,nob,2006,,,
2013042505003,"Nix, Garth",General Torsdag,2006,,nob,2006,,,
2013042505033,"Røssland, Ingelin",Englefjes :,2010,"spenningslitteratur, ungdomsbøker",nno,2010,roman,,
2013042506066,"Bull-Gundersen, Anne B.",Bokstaver,cop. 2009,"abc, barnebøker, billedbøker, bokstaver, lesebøker, norsk, ordleker, språk, språkleker",nob,2009,,,
2013042906058,"Widmark, Martin",Zoo-mysteriet,2008,,nob,2008,,,
2013043007098,"Grønlien, Arne Henning",Fiskelykke :,2010,"barn, barnebøker, fisk, fiskemetoder, fisketurer, fisking, havfiske, innlandsfiskesjøfiske, isfiske, knuter, ungdom",nob,2010,håndbok for unge fiskere,,
